date,temperature,upper_bound,lower_bound
2023-01-01,20.248357076505616,22.194636575750607,18.302077577260626
2023-01-02,20.63450033210886,22.404171453066684,18.864829211151037
2023-01-03,21.71710485193281,23.62082492951484,19.81338477435078
2023-01-04,22.81667357519212,24.764719225153865,20.868627925230374
2023-01-05,22.55907624439883,24.21807798188476,20.9000745069129
2023-01-06,23.12681532253404,24.681841284797876,21.571789360270202
2023-01-07,24.53665812693432,26.15062570820529,22.92269054566335
2023-01-08,24.559359510358632,26.272913404671762,22.845805616045503
2023-01-09,24.28638766159795,26.195395044559195,22.377380278636704
2023-01-10,25.04790373223556,26.97826902386373,23.11753844060739
2023-01-11,24.705344678651745,26.20882074391734,23.20186861338615
2023-01-12,24.766356390399864,26.521730041688645,23.010982739111082
2023-01-13,25.08287074934241,26.791576250916798,23.37416524776802
2023-01-14,23.86916145296935,25.480215358204717,22.258107547733985
2023-01-15,23.731206793508765,25.291139477175605,22.171274109841924
2023-01-16,23.988958447590143,25.657766033291956,22.32015086188833
2023-01-17,23.355135399954733,25.326590251910993,21.383680547998473
2023-01-18,23.533267006775787,25.194868472786165,21.87166554076541
2023-01-19,22.36952837316483,24.12892368403651,20.610133062293148
2023-01-20,21.508588765282393,23.360098244729983,19.657079285834804
2023-01-21,22.294685269529747,23.976500070719393,20.612870468340102
2023-01-22,20.765007319593337,22.75089836095382,18.779116278232856
2023-01-23,20.210221421873225,22.19144506934428,18.22899777440217
2023-01-24,18.75913304979531,20.385024197707992,17.133241901882627
2023-01-25,18.504884186233408,20.2535084391796,16.756259933287215
2023-01-26,18.162445088586416,19.8128842434948,16.512005933678033
2023-01-27,16.899071912001112,18.541492159189847,15.256651664812377
2023-01-28,17.08026622290854,18.598709696585807,15.561822749231276
2023-01-29,16.071796536645685,17.876578703635634,14.267014369655737
2023-01-30,15.778173375895804,17.529512887510236,14.026833864281373
2023-01-31,15.256195453100167,16.781934828725163,13.730456077475173
2023-02-01,16.20464432500669,17.843967557124994,14.565321092888384
2023-02-02,15.08718490498526,17.04131784796859,13.133051962001934
2023-02-03,14.478151675513159,16.097932620846645,12.858370730179672
2023-02-04,15.43072865057515,17.003176086620762,13.858281214529537
2023-02-05,14.520611082695487,16.265337462834268,12.775884702556706
2023-02-06,15.443948367990178,17.436773595045477,13.451123140934877
2023-02-07,14.66092267504742,16.281950310803172,13.03989503929167
2023-02-08,15.36466778612823,17.20073555983117,13.52860001242529
2023-02-09,16.594233992178395,18.475043799842755,14.713424184514036
2023-02-10,17.401823179660923,19.020641951657122,15.783004407664723
2023-02-11,17.714120846702222,19.578229021008152,15.850012672396293
2023-02-12,18.213660555724097,19.897552122083724,16.52976898936447
2023-02-13,18.798383443663,20.61453635895979,16.98223052836621
2023-02-14,18.90804420960473,20.724809064985177,17.09127935422428
2023-02-15,19.9927726910142,21.76066003305158,18.22488534897682
2023-02-16,20.820745323062457,22.36589020808966,19.275600438035255
2023-02-17,22.25707641619124,24.17472766398586,20.33942516839662
2023-02-18,22.54337243867699,24.203762471162857,20.882982406191122
2023-02-19,22.085890032655414,23.679149287855342,20.492630777455485
2023-02-20,23.66623861045356,25.18662618123094,22.14585103967618
2023-02-21,23.7786980492144,25.57414452080852,21.983251577620276
2023-02-22,24.020781262859714,25.859563443780857,22.18199908193857
2023-02-23,24.966321573932632,26.47461548839656,23.458027659468705
2023-02-24,25.38446685356698,27.14051338271662,23.62842032441734
2023-02-25,25.44618386503454,27.05943175263351,23.83293597743557
2023-02-26,24.573384098397575,26.3959704936023,22.750797703192852
2023-02-27,24.751460294720165,26.33864350922266,23.16427708021767
2023-02-28,24.88712648294956,26.732595352000793,23.04165761389833
2023-03-01,24.930723804346314,26.624091477496584,23.237356131196044
2023-03-02,23.836392630284916,25.804757624653284,21.868027635916548
2023-03-03,23.535054630063005,25.103815102136,21.96629415799001
2023-03-04,22.554415299261287,24.224948474786416,20.883882123736157
2023-03-05,21.927327987247402,23.4840647478677,20.370591226627106
2023-03-06,22.29927911746562,24.2616259266049,20.33693230832634
2023-03-07,21.90104446578941,23.839714142479902,19.96237478909892
2023-03-08,20.492487796307795,22.121458610165373,18.863516982450218
2023-03-09,20.325309129416755,22.155301152433843,18.495317106399668
2023-03-10,19.30292254268722,21.211533642787828,17.394311442586613
2023-03-11,18.11557923762847,19.8931796434282,16.33797883182874
2023-03-12,17.965957186804168,19.73078247598217,16.201131897626166
2023-03-13,17.94547787230755,19.566404017757776,16.324551726857322
2023-03-14,16.605943639966878,18.15249502386983,15.059392256063928
2023-03-15,16.920770867785063,18.869378746761726,14.9721629888084
2023-03-16,14.420025235744497,16.37023426432616,12.469816207162832
2023-03-17,15.817285542422331,17.633836271058964,14.000734813785698
2023-03-18,15.217721958820837,16.887236854345186,13.548207063296486
2023-03-19,14.888606711207672,16.563211498514,13.21400192390134
2023-03-20,15.046659121082758,16.90963696051788,13.183681281647639
2023-03-21,14.069162017641577,16.017717147617866,12.12060688766529
2023-03-22,15.113540345638665,17.05708355777122,13.169997133506106
2023-03-23,15.657431431190448,17.54736920411926,13.767493658261635
2023-03-24,16.563304876588578,18.38432069966572,14.742289053511435
2023-03-25,15.993813171682547,17.53588315418007,14.451743189185022
2023-03-26,16.351869397544775,17.93268375459208,14.771055040497467
2023-03-27,17.072968546447232,19.02224564071077,15.123691452183692
2023-03-28,18.402542411862928,20.205756941692723,16.599327882033133
2023-03-29,18.771114971947377,20.275713497755692,17.26651644613906
2023-03-30,19.031487415422024,20.58222318685504,17.48075164398901
2023-03-31,20.256633716556674,22.088384601110704,18.424882832002645
